instance,num_var,num_rep,num_steps,compress,runtime,gap,best_energy,gnd_energy,success_prob,best_solution
precision_2_timepoints_3.coo,24,8,100,False,0.045355793,2.631578947368421,-74.0,-76.0,0.0,1;-1;-1;1;-1;-1;-1;-1;1;1;1;-1;1;-1;-1;1;-1;-1;-1;1;1;1;1;-1
precision_2_timepoints_4.coo,32,8,100,False,0.002392713,3.636363636363636,-106.0,-110.0,0.0,1;-1;1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;-1
precision_2_timepoints_5.coo,40,8,100,False,0.002966096,2.7777777777777777,-140.0,-144.0,0.0,-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;-1;1
precision_2_timepoints_6.coo,48,8,100,False,0.002433197,2.247191011235955,-174.0,-178.0,0.0,1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1
precision_3_timepoints_3.coo,36,8,100,False,0.002393954,1.891891891891892,-90.75,-92.5,0.0,-1;1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;-1
precision_3_timepoints_4.coo,48,8,100,False,0.002398515,5.075187969924812,-126.25,-133.0,0.0,-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;-1;-1;-1;1;-1;1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;-1;1;-1;-1;1
precision_3_timepoints_5.coo,60,8,100,False,0.002442972,3.602305475504323,-167.25,-173.5,0.0,-1;1;1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;-1;-1;1;1
precision_3_timepoints_6.coo,72,8,100,False,0.00244141,3.504672897196261,-206.5,-214.0,0.0,-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;-1;-1;1;-1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;1;-1;-1;1;-1;1;1;-1;1;-1;-1;-1;-1;-1;-1;1;1;-1;1;-1;1;-1;-1;1;1;-1;1;1;-1;-1;1;-1;-1;1;1;1;-1;-1;-1;1
precision_4_timepoints_3.coo,48,8,100,False,0.004123405,0.857843137254902,-101.125,-102.0,0.0,-1;1;1;1;-1;-1;1;-1;-1;1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;1;-1;1;-1;1;1;-1;-1;-1;-1;1;-1;-1;1;1;1;-1;-1;-1;-1;-1;1;-1;-1;1;1;1
precision_4_timepoints_4.coo,64,8,100,False,0.002387976,2.5662959794696323,-142.375,-146.125,0.0,-1;1;1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;1;-1;-1;1;1;1;-1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;-1;1;1;-1;1;-1;1;1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;1;-1;1;-1;1;-1;1;-1;1
precision_4_timepoints_5.coo,80,8,100,False,0.002406441,2.759526938239159,-185.0,-190.25,0.0,1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;-1;-1;-1;-1;-1;-1;1;-1;1;-1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;-1;-1;1;1;1;1;1;-1;-1;-1;1;-1;1
precision_4_timepoints_6.coo,96,8,100,False,0.002396032,2.8266666666666667,-227.75,-234.375,0.0,-1;1;1;1;-1;-1;1;1;-1;1;1;1;-1;-1;1;1;-1;-1;-1;1;-1;1;1;1;-1;1;-1;-1;-1;-1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;1;-1;-1;1;-1;-1;1;1;-1;1;1;1;1;-1;-1;1;-1;1;-1;1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;-1;1;-1;-1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;-1;-1;-1
precision_2_timepoints_3.coo,24,8,10000,False,0.157253536,1.3157894736842104,-75.0,-76.0,0.0,1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1;1;-1;-1;1;-1;-1;-1;1;1;-1;-1;1
precision_2_timepoints_4.coo,32,8,10000,False,0.147413952,1.818181818181818,-108.0,-110.0,0.0,1;-1;-1;1;-1;1;-1;1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;1;-1;1;1;-1;-1;1;-1;-1;-1;-1;-1;1
